Día de la Semana (lanzamiento),Director,Género,Película,Día Lanzamiento,Estudio,Venta Ajustada ($mill),Presupuesto ($mill),Venta ($mill),Rating IMDB,Rating MovieLens,Venta Fuera de Estados Unidos ($mill),Venta Fuera de Estados Unidos %,Utilidad ($mill),Utilidad %,Duracion (min),Venta USA ($mill),Venta % USA
Viernes,Joseph Kosinski,acción,Tron Legacy,17-12-10,Buena Vista Studios,436.3,200,400.1,6.8,3.38,228,57,200.1,100.1,125,172.1,43
Miércoles,Renny Harlin,acción,Die Hard 2: Die Harder,04-07-90,Fox,436.7,70,240,7.1,3.42,122.5,51,170,242.9,124,117.5,49
Viernes,Richard Donner,acción,Lethal Weapon 2,07-07-89,WB,437.1,25,227.9,7.2,3.29,80.6,35.4,202.9,811.6,114,147.3,64.6
Viernes,Alex Proyas,ciencia ficción,"I, Robot",16-07-04,Fox,437.1,105,347.2,7.1,3.46,202.4,58.3,242.2,230.7,115,144.8,41.7
Viernes,Jon Turteltaub,aventura,National Treasure,19-11-04,Buena Vista Studios,437.5,100,347.5,6.9,3.42,174.5,50.2,247.5,247.5,131,173,49.8
Miércoles,Adrian Lyne,drama,Indecent Proposal,07-04-93,Paramount Pictures,438.7,38,266.6,5.8,2.85,160,60,228.6,601.6,117,106.6,40
Miércoles,Len Wiseman,acción,Live Free or Die Hard,27-06-07,Fox,439.9,110,383.5,7.2,3.58,249,64.9,273.5,248.6,128,134.5,35.1
Martes,Quentin Tarantino,aventura,Django Unchained,25-12-12,Weinstein Company,440.6,100,425.4,8.5,4.04,262.6,61.7,325.4,325.4,165,162.8,38.3
Viernes,Brad Peyton,acción,San Andreas,29-05-15,WB,441.2,110,441.2,6.6,2.84,299.2,67.8,331.2,301.1,114,142,32.2
Viernes,Garry Marshall,comedia,Runaway Bride,30-07-99,Paramount Pictures,441.8,70,309.5,6.6,3.46,157.2,50.8,239.5,342.1,116,152.3,49.2
Viernes,Rob Cohen,acción,The Mummy: Tomb of the Dragon Emperor,01-08-08,Universal,443,175,401.1,5.2,2.63,298.6,74.4,226.1,129.2,112,102.5,25.6
Viernes,P. J. Hogan,comedia,My Best Friend's Wedding,20-06-97,Sony,443.5,46,299.3,7.1,3.33,172.2,57.5,253.3,550.7,105,127.1,42.5
Viernes,"Barry Cook, Tony Bancroft",animación,Mulan,19-06-98,Buena Vista Studios,444,90,304.3,7.5,2.84,183.7,60.4,214.3,238.1,88,120.6,39.6
Miércoles,Sydney Pollack,suspenso,The Firm,30-06-93,Paramount Pictures,444.7,42,270.2,6.8,3.5,111.9,41.4,228.2,543.3,154,158.3,58.6
Jueves,Robert Zemeckis,acción,Back to the Future Part III,24-05-90,Universal,444.9,40,244.5,7.4,3.24,156.8,64.1,204.5,511.3,118,87.7,35.9
Jueves,Jay Roach,comedia,Austin Powers: The Spy Who Shagged Me,10-06-99,New Line Cinema,445.3,35,312,6.6,3.21,106,34,277,791.4,95,206,66
Viernes,Emile Ardolino,drama,Dirty Dancing,21-08-87,Vestron Pictures,448,6,214,6.8,3.22,150,70.1,208,3466.7,100,64,29.9
Viernes,Andy Tennant,comedia,Hitch,11-02-05,Sony,448.2,55,368.1,8.2,3.94,188.6,51.2,313.1,569.3,118,179.5,48.8
Viernes,Tom Shadyac,comedia,Liar Liar,21-03-97,Universal,448.5,45,302.7,6.8,3.21,121.3,40.1,257.7,572.7,86,181.4,59.9
Viernes,"Brad Silberling, Phil Nibbelink",comedia,Casper,26-05-95,Universal,449.2,55,287.9,6,2.9,187.6,65.2,232.9,423.5,100,100.3,34.8
Miércoles,"Olivier Nakache, Eric Toledano",drama,The Intouchables,02-11-11,Weinstein Company,451,10,426.6,8.6,4.14,416.4,97.6,416.6,4166,112,10.2,2.4
Viernes,Tom Hooper,biografía,The King's Speech,26-11-10,Weinstein Company,451.7,15,414.2,8.1,4.02,275.4,66.5,399.2,2661.3,118,138.8,33.5
Viernes,Tim Burton,acción,Batman Returns,19-06-92,WB,452.2,80,266.8,7,3.09,104,39,186.8,233.5,126,162.8,61
Viernes,Peter Weir,drama,Dead Poets Society,02-06-89,Buena Vista Studios,452.4,16.4,235.9,8,3.89,140,59.4,219.5,1338.4,128,95.9,40.6
Viernes,"George Miller, Warren Coleman, Judy Morris",animación,Happy Feet,17-11-06,WB,453.3,85,384.3,6.5,3.13,186.3,48.5,299.3,352.1,108,198,51.5
Viernes,Michael Apted,aventura,The Chronicles of Narnia: The Voyage of the Dawn Treader,10-12-10,Fox,453.3,155,415.7,6.4,3.36,311.3,74.9,260.7,168.2,113,104.4,25.1
Viernes,Wolfgang Petersen,acción,The Perfect Storm,30-06-00,WB,453.9,120,328.7,6.4,3.08,146.1,44.4,208.7,173.9,130,182.6,55.6
Miércoles,Christopher Nolan,acción,Batman Begins,15-06-05,WB,455.6,150,374.2,8.3,3.97,167.4,44.7,224.2,149.5,140,206.9,55.3
Viernes,Steven Soderbergh,suspenso,Ocean's Twelve,10-12-04,WB,456.6,85,362.7,6.4,3.25,237.2,65.4,277.7,326.7,125,125.5,34.6
Martes,Tom Hooper,drama,Les Miserables (2012),25-12-12,Universal,457.6,61,441.8,6,2.92,293,66.3,380.8,624.3,158,148.8,33.7
Viernes,Shawn Levy,comedia,Night at the Museum: Battle of the Smithsonian,22-05-09,Fox,457.9,150,413.1,5.9,3.01,235.9,57.1,263.1,175.4,104,177.2,42.9
Viernes,Michael Patrick King,comedia,Sex and the City,30-05-08,WB/New Line,458.7,57.5,415.3,6.9,2.93,262.6,63.2,357.8,622.3,145,152.6,36.8
Viernes,Gavin Hood,acción,The Wolverine,01-05-09,Fox,459.8,150,414.8,6.7,3.24,282.3,68,264.8,176.5,107,132.6,32
Viernes,Luc Besson,acción,Lucy,25-07-14,Universal,461,40,458.9,6.4,3.05,332.2,72.4,418.9,1047.3,89,126.7,27.6
Miércoles,Bryan Singer,acción,Superman Returns,28-06-06,WB,461.3,232,391.1,6.1,3.12,191,48.8,159.1,68.6,154,200.1,51.2
Viernes,"Bibo Bergeron, Rob Letterman, Vicky Jenson",animación,Shark Tale,01-10-04,DreamWorks,462.4,75,367.3,6,2.91,206.4,56.2,292.3,389.7,90,160.9,43.8
Viernes,Andrew Adamson,acción,The Chronicles of Narnia: Prince Caspian,16-05-08,Buena Vista Studios,463.6,225,419.7,6.6,3.31,278,66.3,194.7,86.5,150,141.6,33.7
Miércoles,Steven Spielberg,biografía,Catch Me If You Can,25-12-02,DreamWorks,465.4,52,352.1,8,3.85,187.5,53.2,300.1,577.1,141,164.6,46.8
Miércoles,James L. Brooks,comedia,As Good as It Gets,24-12-97,Sony,465.5,50,314.2,7.8,3.79,165.7,52.7,264.2,528.4,139,148.5,47.3
Viernes,Brett Ratner,comedia,Rush Hour 2,03-08-01,New Line Cinema,466.3,90,347.3,6.6,3.23,121.2,34.9,257.3,285.9,90,226.2,65.1
Viernes,Wolfgang Petersen,acción,Air Force One,25-07-97,Sony,467,85,315.2,6.4,3.33,142.2,45.1,230.2,270.8,124,173,54.9
Viernes,Ron Howard,suspenso,Ransom,08-11-96,Buena Vista Studios,469.1,70,309.5,5.4,2.88,173,55.9,239.5,342.1,121,136.5,44.1
Viernes,J. J. Abrams,acción,Mission: Impossible III,05-05-06,Paramount Pictures,469.4,150,397.9,6.8,3.31,263.8,66.3,247.9,165.3,126,134,33.7
Viernes,"Phil Lord, Chris Miller",animación,The LEGO Movie,07-02-14,WB,470.9,60,468.8,7.8,3.75,211,45,408.8,681.3,100,257.8,55
Viernes,Ridley Scott,suspenso,Hannibal,09-02-01,MGM,472.3,87,351.7,8.7,3.15,186.6,53.1,264.7,304.3,131,165.1,46.9
Viernes,Steven Spielberg,ciencia ficción,Minority Report,21-06-02,Fox,473.8,102,358.4,7.7,3.66,226.3,63.1,256.4,251.4,145,132.1,36.9
Viernes,Kenneth Branagh,acción,Thor,06-05-11,Paramount Pictures,475,150,449.3,7,3.51,268.3,59.7,299.3,199.5,115,181,40.3
Viernes,Paul Verhoeven,acción,Total Recall,01-06-90,Sony,475.4,65,261.3,7.5,3.18,141.9,54.3,196.3,302,113,119.4,45.7
Jueves,Jonathan Demme,suspenso,The Silence of the Lambs,14-02-91,Orion,476.1,20,272.7,8.6,4.18,142,52.1,252.7,1263.5,118,130.7,47.9
Viernes,Ron Howard,comedia,How the Grinch Stole Christmas,17-11-00,Universal,476.6,123,345.1,6,2.91,85.1,24.7,222.1,180.6,104,260,75.3
Miércoles,J. J. Abrams,acción,Star Trek Into Darkness,15-05-13,Paramount Pictures,477.1,190,467.4,7.8,3.82,238.6,51.1,277.4,146,132,228.8,48.9
Miércoles,"John Cornell, Mark Turnbull",acción,Crocodile Dundee II,25-05-88,Paramount Pictures,481.6,14,239.6,5.5,2.57,130.3,54.4,225.6,1611.4,108,109.3,45.6
Viernes,"Eric Leighton, Ralph Zondag",animación,Dinosaur,19-05-00,Buena Vista Studios,483.1,127.5,349.8,6.4,3.12,212.1,60.6,222.3,174.4,82,137.7,39.4
Miércoles,Stephen Herek,animación,101 Dalmatians (1996),27-11-96,Buena Vista Studios,486.1,75,320.7,5.6,3.1,184.5,57.5,245.7,327.6,103,136.2,42.5
Viernes,Tim Burton,acción,Planet of the Apes (2001),27-07-01,Fox,486.4,100,362.2,5.7,2.74,182.2,50.3,262.2,262.2,119,180,49.7
Viernes,Jonathan Liebesman,acción,Teenage Mutant Ninja Turtles (2014),08-08-14,Paramount Pictures,487.2,125,485,7.9,3.84,293.8,60.6,360,288,101,191.2,39.4
Viernes,Joel Zwick,comedia,My Big Fat Greek Wedding,19-04-02,IFC,487.4,5,368.7,6.6,3.46,127.3,34.5,363.7,7274,95,241.4,65.5
Viernes,Rob Cohen,acción,Fast and Furious,22-06-01,Universal,487.7,38,363.2,6.7,2.88,208.1,57.3,325.2,855.8,106,155.1,42.7
Viernes,Rich Moore,animación,Wreck-It Ralph,02-11-12,Buena Vista Studios,488.1,165,471.2,7.8,3.82,281.8,59.8,306.2,185.6,101,189.4,40.2
Miércoles,Betty Thomas,animación,Alvin and the Chipmunks: The Squeakquel,23-12-09,Fox,491.2,70,443.1,4.4,2.13,223.5,50.4,373.1,533,88,219.6,49.6
Viernes,"Gary Trousdale, Kirk Wise",animación,The Hunchback of Notre Dame,21-06-96,Buena Vista Studios,493,100,325.3,6.8,3.3,225.2,69.2,225.3,225.3,91,100.1,30.8
Viernes,Roger Spottiswoode,acción,Tomorrow Never Dies,19-12-97,MGM,493.4,110,333,6.5,3.23,207.7,62.4,223,202.7,119,125.3,37.6
Miércoles,Joe Johnston,acción,Jurassic Park III,18-07-01,Universal,495.2,93,368.8,5.9,2.65,187.6,50.9,275.8,296.6,92,181.2,49.1
Viernes,Carlos Saldanha,animación,Rio 2,11-04-14,Fox,502.5,130,500.2,6.4,3.08,368.7,73.7,370.2,284.8,101,131.5,26.3
Viernes,Sam Raimi,aventura,Oz The Great and Powerful,08-03-13,Buena Vista Studios,503.6,200,493.3,6.4,2.99,258.4,52.4,293.3,146.7,130,234.9,47.6
Viernes,Michael Bay,acción,The Rock,07-06-96,Buena Vista Studios,507.9,75,335.1,7.4,3.7,201,60,260.1,346.8,136,134.1,40
Viernes,Paul Greengrass,acción,The Bourne Ultimatum,03-08-07,Universal,508,130,442.8,8.1,3.98,215.4,48.6,312.8,240.6,115,227.5,51.4
Miércoles,Sam Mendes,drama,American Beauty,15-09-99,DreamWorks,508.6,15,356.3,8.4,4.17,226.2,63.5,341.3,2275.3,122,130.1,36.5
Viernes,Rupert Wyatt,ciencia ficción,Rise of the Planet of the Apes,05-08-11,Fox,509.4,93,481.8,8.6,4.07,305,63.3,388.8,418.1,105,176.8,36.7
Viernes,Mimi Leder,acción,Deep Impact,08-05-98,Paramount Pictures,509.9,80,349.5,6.1,2.95,209,59.8,269.5,336.9,120,140.5,40.2
Viernes,David Fincher,crimen,Seven,22-09-95,New Line Cinema,510.7,30,327.3,8.7,4.05,227.2,69.4,297.3,991,127,100.1,30.6
Viernes,Carlos Saldanha,animación,Rio,15-04-11,Fox,512.3,90,484.6,7,3.36,341,70.4,394.6,438.4,96,143.6,29.6
Viernes,Michael Apted,acción,The World Is Not Enough,19-11-99,MGM,516.4,135,361.8,6.4,3.2,234.9,64.9,226.8,168,128,126.9,35.1
Viernes,Nancy Meyers,comedia,What Women Want,15-12-00,Paramount Pictures,516.6,65,374.1,6.4,3.14,191.3,51.1,309.1,475.5,127,182.8,48.9
Viernes,Todd Phillips,comedia,The Hangover,05-06-09,WB,518.2,35,467.5,7.8,3.77,190.2,40.7,432.5,1235.7,100,277.3,59.3
Viernes,Roger Michell,comedia,Notting Hill,28-05-99,Universal,519.4,42,363.9,7,3.45,247.8,68.1,321.9,766.4,124,116.1,31.9
Viernes,Zack Snyder,acción,300,09-03-07,WB,523.2,60,456.1,7.8,3.68,245.5,53.8,396.1,660.2,117,210.6,46.2
Viernes,Jon Turteltaub,acción,National Treasure: Book of Secrets,21-12-07,Buena Vista Studios,524.7,130,457.4,6.5,3.3,237.4,51.9,327.4,251.9,124,220,48.1
Viernes,Joel Schumacher,acción,Batman Forever,16-06-95,WB,525.1,100,336.5,5.4,2.92,152.5,45.3,236.5,236.5,121,184,54.7
Miércoles,Steven Spielberg,aventura,Hook,11-12-91,TriStar,525.4,70,300.9,6.7,3.18,181.2,60.2,230.9,329.9,144,119.7,39.8
Jueves,Bryan Singer,acción,X2: X-Men United,24-04-03,Fox,526.9,110,407.7,7.5,3.68,192.8,47.3,297.7,270.6,134,214.9,52.7
Miércoles,Steven Spielberg,biografía,Schindler's List,15-12-93,Universal,528.8,25,321.3,8.9,4.31,225.2,70.1,296.3,1185.2,195,96.1,29.9
Miércoles,John Lasseter,animación,A Bug's Life,25-11-98,Buena Vista Studios,530.2,120,363.4,7.2,3.61,200.6,55.2,243.4,202.8,96,162.8,44.8
Viernes,Gareth Edwards,acción,Godzilla (2014),16-05-14,WB,531.1,160,528.7,6.5,2.96,328,62,368.7,230.4,123,200.7,38
Viernes,Louis Leterrier,acción,Clash of the Titans,02-04-10,WB,537.9,125,493.2,5.8,2.8,330,66.9,368.2,294.6,106,163.2,33.1
Viernes,Ron Howard,suspenso,Angels & Demons,15-05-09,Sony,538.6,150,485.9,6.7,3.28,352.6,72.6,335.9,223.9,138,133.4,27.4
Viernes,Kenneth Branagh,drama,Cinderella,13-03-15,Buena Vista Studios,539,95,539,7.3,3.48,338.7,62.8,444,467.4,105,200.3,37.2
Viernes,M. Night Shyamalan,drama,Signs,02-08-02,Buena Vista Studios,539.6,70.7,408.2,6.7,3.27,180.3,44.2,337.5,477.4,106,228,55.8
Miércoles,"Bobby Farrelly, Peter Farrelly",comedia,There's Something About Mary,15-07-98,Fox,539.7,22,369.9,7.1,3.55,193.4,52.3,347.9,1581.4,119,176.5,47.7
Viernes,"Chris Sanders, Dean DeBlois",animación,How to Train Your Dragon,26-03-10,Pacific Data/DreamWorks,539.7,165,494.9,8.2,4.01,277.3,56,329.9,199.9,98,217.6,44
Viernes,"Mike Babriel, Eric Goldberg",animación,Pocahontas,23-06-95,Buena Vista Studios,540.1,75,346.1,6.6,2.94,204.5,59.1,271.1,361.5,81,141.6,40.9
Viernes,Brett Ratner,acción,X-Men: The Last Stand,26-05-06,Fox,541.9,150,459.4,6.8,3.36,225,49,309.4,206.3,104,234.4,51
Viernes,"John Lasseter, Joe Ranft",animación,Cars,09-06-06,Buena Vista Studios,545,70,462,7.2,3.51,217.9,47.2,392,560,117,244.1,52.8
Viernes,Richard Donner,acción,Lethal Weapon 3,15-05-92,WB,545.3,35,321.7,6.7,3.28,177,55,286.7,819.1,118,144.7,45
Viernes,Brian Levant,comedia,The Flintstones,27-05-94,Universal,548.1,45,341.6,4.8,2.43,211.1,61.8,296.6,659.1,91,130.5,38.2
Viernes,Martin Campbell,acción,GoldenEye,17-11-95,MGM,549.6,60,352.2,7.2,3.44,245.8,69.8,292.2,487,130,106.4,30.2
Jueves,Clint Eastwood,acción,American Sniper,25-12-14,WB,549.6,58,547.1,7.4,3.5,197,36,489.1,843.3,132,350.1,64
Viernes,Marc Forster,ciencia ficción,World War Z,21-06-13,Paramount Pictures,551.2,190,540,7,3.36,337.6,62.5,350,184.2,116,202.4,37.5
Miércoles,"Andy Wachowski, Lana Wachowski",ciencia ficción,The Matrix Revolutions,05-11-03,WB,552.3,110,427.3,6.7,3.15,288,67.4,317.3,288.5,129,139.3,32.6
Miércoles,Gareth Edwards,acción,Godzilla,20-05-98,Sony,552.9,160,379,6.5,2.96,242.7,64,219,136.9,123,136.3,36
Viernes,Ron Howard,aventura,Apollo 13,30-06-95,Universal,554.3,65,355.2,7.6,3.88,181.4,51.1,290.2,446.5,140,173.8,48.9
Viernes,Richard Stanley,drama,Brave,22-06-12,Buena Vista Studios,558.3,185,539,7.2,3.59,301.7,56,354,191.4,50,237.3,44
Viernes,Stephen Sommers,acción,The Mummy,04-05-01,Universal,558.5,98,415.9,7,1.5,260.5,62.6,317.9,324.4,130,155.4,37.4
Martes,Jonathan Mostow,acción,Terminator 3: Rise of the Machines,01-07-03,WB,560.1,170,433.4,6.4,3.12,283,65.3,263.4,154.9,109,150.4,34.7
Viernes,Greg MacGillivray,acción,Speed,10-06-94,Fox,562.3,30,350.4,7.2,3.5,229.2,65.4,320.4,1068,30,121.2,34.6
Viernes,Charles Russell,comedia,The Mask,29-07-94,New Line Cinema,564.2,23,351.6,6.8,3.18,231.6,65.9,328.6,1428.7,101,119.9,34.1
Miércoles,John Lasseter,animación,Toy Story,22-11-95,Buena Vista Studios,564.9,30,362,8.3,3.92,170.2,47,332,1106.7,80,191.8,53
Viernes,Seth MacFarlane,comedia,Ted,29-06-12,Universal,569,50,549.4,7,3.35,330.6,60.2,499.4,998.8,106,218.8,39.8
Viernes,Amy Heckerling,romántica,Look Who's Talking,13-10-89,TriStar,569.6,7.5,297,5.8,2.67,156.9,52.8,289.5,3860,93,140.1,47.2
Viernes,Sam Taylor-Wood,drama,Fifty Shades of Grey,13-02-15,Universal,569.7,40,569.7,4.2,1.95,403.5,70.8,529.7,1324.3,125,166.2,29.2
Viernes,Lee Tamahori,acción,Die Another Day,22-11-02,MGM,571,142,432,6.1,3.14,271,62.7,290,204.2,133,160.9,37.3
Viernes,John McTiernan,acción,Die Hard: With A Vengeance,19-05-95,Fox,571.3,90,366.1,7.6,3.49,266.1,72.7,276.1,306.8,131,100,27.3
Viernes,Andrew Stanton,animación,WALL-E,27-06-08,Buena Vista Studios,575.8,180,521.3,8.4,4.04,297.5,57.1,341.3,189.6,98,223.8,42.9
Viernes,Guy Ritchie,acción,Sherlock Holmes: A Game of Shadows,16-12-11,WB,576.6,125,545.4,7.5,3.8,358.6,65.7,420.4,336.3,129,186.8,34.3
Viernes,Shawn Levy,aventura,Night at the Museum,19-12-14,Fox,577.1,127,574.5,6.4,3.13,323.6,56.3,447.5,352.4,98,250.9,43.7
Viernes,Tim Burton,aventura,Charlie and the Chocolate Factory,15-07-05,WB,578.4,150,475,6.7,3.36,268.5,56.5,325,216.7,115,206.5,43.5
Miércoles,John Landis,comedia,Coming to America,29-06-88,Paramount Pictures,580.5,39,288.8,6.9,3.5,160.6,55.6,249.8,640.5,116,128.2,44.4
Viernes,Guy Ritchie,acción,Sherlock Holmes,25-12-09,WB,580.8,90,524,7.6,3.79,315,60.1,434,482.2,128,209,39.9
Viernes,Stephen Sommers,acción,The Mummy Returns,04-05-01,Universal,581.4,98,433,6.3,2.94,231,53.3,335,341.8,130,202,46.7
Viernes,Doug Liman,acción,Mr. & Mrs. Smith,10-06-05,Fox,582.3,110,478.2,6.5,3.26,291.9,61,368.2,334.7,120,186.3,39
Miércoles,Barry Sonnenfeld,acción,Men in Black II,03-07-02,Sony,584,140,441.8,7.6,3.61,251.4,56.9,301.8,215.6,88,190.4,43.1
Viernes,Chris Miller,animación,Puss in Boots,28-10-11,Pacific Data/DreamWorks,586.7,130,555,6.7,3.4,405.7,73.1,425,326.9,90,149.3,26.9
Viernes,Edward Zwick,acción,The Last Samurai,05-12-03,WB,590.4,120,456.8,7.7,3.7,345.6,75.7,336.8,280.7,154,111.1,24.3
Viernes,"Brad Lewis, John Lasseter",animación,Cars 2,24-06-11,Buena Vista Studios,591.9,200,559.9,6.3,3.05,368.4,65.8,359.9,180,106,191.5,34.2
Viernes,"Chris Renaud, Pierre Coffin",animación,Despicable Me,09-07-10,Universal,592.3,69,543.1,7.7,3.81,291.6,53.7,474.1,687.1,95,251.5,46.3
Viernes,Robert Zemeckis,aventura,Cast Away,22-12-00,Fox,593.3,85,429.6,7.7,3.62,196,45.6,344.6,405.4,143,233.6,54.4
Viernes,Raja Gosnell,animación,The Smurfs,29-07-11,Sony,595.9,110,563.7,5.5,2.43,421.1,74.7,453.7,412.5,103,142.6,25.3
Viernes,Paul Verhoeven,misterio,Basic Instinct,20-03-92,TriStar,598.2,49,352.9,6.9,3.35,235.2,66.6,303.9,620.2,127,117.7,33.4
Viernes,"Kirk DeMicco, Chris Sanders",animación,The Croods,22-03-13,Fox,599.4,135,587.2,7.3,3.41,400,68.1,452.2,335,98,187.2,31.9
Viernes,Michael Bay,acción,Pearl Harbor,25-05-01,Buena Vista Studios,603.2,151.5,449.2,6,2.85,250.7,55.8,297.7,196.5,183,198.5,44.2
Viernes,David Silverman,animación,The Simpsons Movie,27-07-07,Fox,604.7,72.5,527.1,7.4,3.51,343.9,65.3,454.6,627,87,183.1,34.7
Viernes,Lewis Milestone,suspenso,Ocean's Eleven,07-12-01,WB,605.2,85,450.7,7.8,3.79,267.3,59.3,365.7,430.2,127,183.4,40.7
Viernes,Andrew Davis,acción,The Fugitive,06-08-93,WB,607.1,44,368.9,7.8,3.99,185,50.2,324.9,738.4,130,183.9,49.8
Viernes,James Cameron,acción,True Lies,15-07-94,Fox,608,100,378.9,7.2,3.5,232.6,61.4,278.9,278.9,141,146.3,38.6
Viernes,Chris Columbus,comedia,Home Alone 2: Lost in New York,20-11-92,Fox,608.5,20,359,6.5,2.52,185.4,51.6,339,1695,120,173.6,48.4
Jueves,Todd Phillips,comedia,The Hangover Part II,26-05-11,WB,620.4,80,586.8,6.5,3.09,332.3,56.6,506.8,633.5,102,254.5,43.4
Viernes,Dean DeBlois,animación,How to Train Your Dragon 2,13-06-14,Fox,621.7,145,618.9,7.9,3.73,441.9,71.4,473.9,326.8,102,177,28.6
Viernes,Wolfgang Petersen,acción,Troy,14-05-04,WB,626.2,150,497.4,7.2,3.32,364,73.2,347.4,231.6,163,133.4,26.8
Viernes,Tom Shadyac,comedia,Bruce Almighty,23-05-03,Universal,626.3,81,484.6,6.7,3.22,241.8,49.9,403.6,498.3,101,242.8,50.1
Miércoles,Tony Scott,acción,Beverly Hills Cop II,20-05-87,Paramount Pictures,628,20,300,6.4,3.07,146.3,48.8,280,1400,100,153.7,51.2
Miércoles,Ang Lee,aventura,Life of Pi,21-11-12,Fox,630.8,120,609,8,3.8,484,79.5,489,407.5,127,125,20.5
Viernes,Ridley Scott,acción,Gladiator,05-05-00,DreamWorks,631.9,103,457.6,8.5,3.96,269.9,59,354.6,344.3,155,187.7,41
Miércoles,John Woo,acción,Mission: Impossible,24-05-00,Paramount Pictures,632.1,120,457.7,7.1,3.39,276.7,60.5,337.7,281.4,123,181,39.5
Miércoles,Robert Zemeckis,aventura,Back to the Future Part II,22-11-89,Universal,636.7,40,332,7.8,3.44,213.5,64.3,292,730,108,118.5,35.7
Miércoles,"Kevin Lima, Chris Buck",animación,Tarzan,16-06-99,Buena Vista Studios,639.8,130,448.2,7.2,3.46,277.1,61.8,318.2,244.8,88,171.1,38.2
Miércoles,"Byron Howard, Nathan Greno",animación,Tangled,24-11-10,Buena Vista Studios,645.4,260,591.8,7.8,3.85,391,66.1,331.8,127.6,100,200.8,33.9
Viernes,Barry Sonnenfeld,acción,MIB 3,25-05-12,Sony,646.3,215,624,6.9,3.41,445,71.3,409,190.2,106,179,28.7
Viernes,Jon Favreau,acción,Iron Man,02-05-08,Paramount Pictures,646.4,186,585.2,7.9,3.92,266.8,45.6,399.2,214.6,126,318.4,54.4
Viernes,Marc Forster,acción,Quantum of Solace,14-11-08,Sony,647.4,230,586.1,6.7,3.38,417.7,71.3,356.1,154.8,106,168.4,28.7
Viernes,"Tom McGrath, Eric Darnell",animación,Madagascar,27-05-05,DreamWorks,648.6,75,532.7,6.9,3.1,339.1,63.7,457.7,610.3,86,193.6,36.3
Miércoles,Jay Roach,comedia,Meet the Fockers,22-12-04,Universal,650.3,60,516.6,6.3,3.11,237.4,45.9,456.6,761,115,279.3,54.1
Viernes,"Andrew Adamson, Vicky Jenson",animación,Shrek,18-05-01,DreamWorks,650.4,50,484.4,7.9,3.85,216.7,44.7,434.4,868.8,90,267.7,55.3
Viernes,"Christopher Williams, Don Hall",animación,Big Hero 6,07-11-14,Buena Vista Studios,655,165,652.1,7.9,3.82,429.6,65.9,487.1,295.2,102,222.5,34.1
Viernes,Alan Taylor,acción,Thor: The Dark World,08-11-13,Buena Vista Studios,658.2,170,644.8,7.1,3.51,438.4,68,474.8,279.3,112,206.4,32
Miércoles,"Andy Wachowski, Lana Wachowski",acción,The Matrix,31-03-99,WB,661.6,65,463.5,8.7,4.19,292,63,398.5,613.1,136,171.5,37
